1297,39,1,149.5,1,81.9,550,137,68,182.5,1,3738
1335,35,1,152.5,3,75.9,569,139,71,201,1,4261
1282,35,1,145.5,3,75.4,542,134.5,70,193,1,3777
1590,37,1,153,1,78.5,576,140,68,195,1,4177
1300,34,1,146,2,78.5,547,132,65,186,1,3585
1400,38,1,143,3,74.2,549,137.5,68,192.5,1,3785
1255,45,1,140,3,74.1,535,134.5,69.5,189,1,3559
1355,45,1,147,2,79.2,555,132.5,68,185.5,1,3613
1375,40,1,150.5,2,76.7,565,135,64,196,1,3982
1340,21,1,141,3,76.2,537,132,66,185,1,3443
1380,42,1,148.5,2,75.4,570,136.5,63,197,1,3993
1355,25,1,142,2,75.3,558,136,69.75,188.5,1,3640
1522,23,1,154,1,77.8,576,138,66.5,198,1,4208
1208,45,1,152,2,79.6,561,132,71,191,1,3832
1405,41,1,148,1,76.3,569,135,60.5,194,1,3876
1358,28,1,147,1,80.3,551,130,63.5,183,1,3497
1292,45,1,144.5,3,78.3,541,130,65,184.5,1,3466
1340,20,1,138,1,77.5,517,126,71.5,178,1,3095
1400,43,1,160,3,83.3,580,144,68,192,1,4424
1357,43,1,149,3,78.4,568,137,68.5,190,1,3878
1287,25,1,158,2,80.2,582,130,68.5,197,1,4046
1275,29,1,146,3,77,554,137.5,68.5,189.5,1,3804
1270,40,1,151,3,83,541,135,68.5,182,1,3710
1505,40,1,168,1,86.2,577,135,72.5,195,1,4423
1490,29,1,151,2,76.3,564,135,69.25,198,1,4036
1485,35,1,151,2,78.2,570,138,70.5,193,1,4022
1310,27,1,139,2,75.5,537,135,69.5,184,1,3454
1420,20,1,147,1,73.5,574,142,69,200,1,4175
1318,38,1,153,3,84.1,567,136,68.5,182,1,3787
1432,24,1,148,2,77.9,564,135,69.75,190,1,3796
1364,41,1,159,2,85,574,138,70.5,187,1,4103
1405,45,1,159,3,83.2,584,137,71,191,1,4161
1432,41,1,153,3,78.3,574,139,67,195.5,1,4158
1207,37,1,149,2,78,548,134,61,191,1,3814
1375,29,1,142,2,77.2,530,135,65,184,1,3527
1350,36,1,153,1,81.8,560,131,61.5,187,1,3748
1236,21,1,142,3,78,528,129,61,182,1,3334
1250,38,1,141,3,73.4,540,129,62.5,192,1,3492
1350,42,1,152,3,78.1,558,134,61.5,194.5,1,3962
1320,43,1,143,3,75.3,539,129,62.5,190,1,3505
1525,37,1,155,3,77.1,587,138.5,66,201,1,4315
1570,31,1,154,1,81.1,550,130,67.5,190,1,3804
1340,34,1,153,3,79.7,563,131.5,69,192,1,3863
1422,44,1,156,3,80.8,578,134,69,193,1,4034
1506,24,1,158,3,82.3,569,142,69.5,192,1,4308
1215,28,1,141,3,77.9,510,124,68.5,181,1,3165
1311,44,1,143,3,75.3,545,134,67,190,1,3641
1300,43,1,144,1,75.4,555,132.5,66.5,191,1,3644
1224,44,1,154.5,3,80.1,570,130.5,68.5,193,1,3891
1350,38,1,148.5,1,76.7,560,132,68.5,193.5,1,3793
1335,35,1,161,3,82.6,558,136,70,195,1,4270
1390,39,1,162,1,85.3,557,132,69,190,1,4063
1400,36,1,154,1,79.8,569,135,69,193,1,4012
1225,43,1,152,3,83.5,538,125,66,182,1,3458
1310,42,1,152,3,79.6,549,134,60.5,191,1,3890
1560,50,2,155,2,80.7,560,140,68,192,1,4166
1330,47,2,149,3,78.4,544,139,69,190,1,3935
1222,47,2,144,2,74.6,556,132,67,193,1,3669
1415,49,2,153,3,80.5,553,133,64.5,190,1,3866
1175,50,2,145,1,80.6,530,130,69,180,1,3393
1330,48,2,159,3,79.1,585,139,69.5,201,1,4442
1485,47,2,155,2,77.1,585,136.5,69,201,1,4253
1470,50,2,148,1,75.9,568,129.5,72.25,195,1,3737
1135,48,2,146.5,1,80.3,541,124.5,64.5,182.5,1,3329
1310,47,2,141,2,76.8,548,132,67,183.5,1,3415
1154,50,2,147,2,78.2,550,122,68,188,1,3372
1510,48,2,154,3,75.5,583,141,68,204,1,4430
1415,49,2,160,2,81.2,589,139,68.5,197,1,4381
1468,48,2,151.5,3,79.3,564,138.5,69.5,191,1,4008
1390,49,2,152,2,80.9,563,135,69,188,1,3858
1380,48,2,160,2,85.1,576,137,66,188,1,4121
1432,50,2,158,1,80.6,575,131,69.5,196,1,4057
1240,69,2,148,3,77.9,560,136,69.5,190,1,3824
1225,58,2,148,1,80.7,540,131,67,183.5,1,3558
1188,57,2,140,2,76.1,544,130.5,69,184,1,3362
1252,67,2,153,3,81.6,569,137,68.5,187.5,1,3930
1315,61,2,150,1,79.8,552,136,66,188,1,3835
1245,53,2,150,2,81.1,545,138,69,185,1,3830
1430,60,2,146,1,76.8,564,139,68.5,190,1,3856
1279,58,2,141,3,78.3,532,128,70,180,1,3249
1245,55,2,146,3,78.1,572,131,67.5,187,1,3577
1309,57,2,152,1,77.6,569,132,67,196,1,3933
1412,75,2,150,2,77.7,553,133,67.5,193,1,3850
1120,63,2,141,2,75.4,534,125.5,61,187,1,3309
1220,69,2,141,2,75,540,128.5,67.25,188,1,3406
1440,52,2,151,3,77,552,132,63.25,196,1,3907
1370,66,2,151,3,77.8,570,142,71.5,194,1,4160
1192,67,2,144,3,80,531,128,69.5,180,1,3318
1230,67,2,145,2,79.2,524,138,67,183,1,3662
1346,53,2,149,1,78,568,137,63,191,1,3899
1290,55,2,143,3,73,551,132,63,196,1,3700
1165,56,2,148,1,77.1,558,133,65,192,1,3779
1240,54,2,144,3,77.6,530,130,65,185.5,1,3473
1132,59,2,141,3,77.5,528,136,63,182,1,3490
1242,65,2,156,1,85.2,544,128,65.5,183,1,3654
1270,59,2,143,3,75.3,536,128,64,190,1,3478
1218,60,2,148,3,80.2,525,128,65.5,184.5,1,3495
1430,60,2,153,1,79.7,579,130.5,69,192,1,3834
1586,60,2,148,3,76.3,555,135,68,194,1,3876
1320,62,2,150,3,80.2,548,130.5,65,187,1,3661
1290,70,2,148,1,77.5,565,128,67,191,1,3618
1260,59,2,151,1,79,558,126.5,67.5,191,1,3648
1425,51,2,143.5,1,71.7,565,140.5,68,200,1,4032
1226,57,2,143,3,77.3,542,128.5,66,185,1,3399
1360,51,2,152,3,78.8,556,133.5,68.5,193,1,3916
1620,65,2,157,1,77.3,585,139,70.5,203,1,4430
1310,56,2,150,3,79.2,549,130,66,189.5,1,3695
1250,75,2,145.5,3,75.3,555,125.5,72.5,193,1,3524
1295,47,2,150,3,78.1,561,124,69.5,192,1,3571
1290,57,2,149,3,79.7,555,129,67.25,187,1,3594
1290,62,2,149.5,3,81.2,536,123,69.75,184,1,3383
1275,84,2,145,3,76.3,545,127,50.5,190,1,3499
1250,48,2,147,3,77.4,549,128.5,61.5,190,1,3589
1270,58,2,154,3,81.5,557,134,68.5,189,1,3900
1300,52,2,155,3,81.2,558,133,67,191,1,3937
1173,57,2,147,1,80.3,544,126,66,183,1,3399
1256,52,2,164,1,85.4,563,132,69,192,1,4200
1440,58,2,158,2,74.5,585,134,72,212,1,4488
1180,63,2,149,3,79.3,551,129,65,188,1,3614
1306,57,2,157,1,80.9,573,133,67.5,194,1,4051
1350,46,2,144,1,73.5,556,134,69,196,1,3782
1125,61,2,144,3,78.3,531,128,64,184,1,3391
1165,58,2,145,2,84.4,534,126,66,171,1,3124
1312,55,2,154,2,82.8,558,141.5,65,186,1,4053
1300,50,2,151,3,79.9,547,125.5,66,189,1,3582
1270,52,2,145,3,74,556,129,66,196,1,3666
1335,51,2,146,2,77.2,553,128,67,189,1,3532
1450,63,2,156,2,78.8,583,131,69,198,1,4046
1310,72,2,151,2,82.1,554,132,66.5,184,1,3667
1235,20,1,139.5,2,75.6,523,133.5,63,184.5,0,3436
1260,35,1,153,2,81.8,558,132.5,63.5,187,0,3791
1165,40,1,144,2,79.1,532,126,60,182,0,3302
1080,30,1,138,2,77.3,498.5,126,51,178.5,0,3104
1127,33,1,143,2,79,531,122.5,58,181,0,3171
1252,42,1,143,2,76.5,552,132,62,187,0,3530
1200,35,1,140,2,77.8,521,126,66,180,0,3175
1290,31,1,145,2,80.1,539,131,66,181,0,3438
1334,35,1,158,3,81.9,554,128,64,193,0,3903
1380,23,1,156,1,88.6,555,142,69,176,0,3899
1140,38,1,142.5,1,77,542,129,65.5,185,0,3401
1243,23,1,141,2,77.9,540,128,67.5,181,0,3267
1340,32,1,141,2,76.6,532,133,70,184,0,3451
1168,34,1,137,3,76.5,505,126,58,179,0,3090
1322,37,1,139,3,74.7,532,132,60,186,0,3413
1249,39,1,141,2,77.5,521,129.5,64,182,0,3323
1321,34,1,144,2,75.8,552,134.5,63,190,0,3680
1192,41,1,147,2,80.1,533,127.5,66.5,183.5,0,3439
1373,43,1,151.5,3,81,565,136,66.5,187,0,3853
1170,33,1,137,3,76.1,530,128,59,180,0,3156
1265,28,1,142,3,79.3,528,129,64,179,0,3279
1235,33,1,151,3,81.2,560,132,67,186,0,3707
1302,34,1,152,1,79.6,546,138,66,191,0,4006
1241,38,1,141,3,79.7,523,131,65.5,177,0,3269
1078,45,1,138,3,77.5,514,125,68,178,0,3071
1520,25,1,153.5,1,84.8,550,136,67,181,0,3779
1460,39,1,145,2,78.8,535,133,62,184,0,3548
1075,36,1,140,3,78,519,131,61,179.5,0,3292
1280,36,1,147,3,80.3,535,130,62.5,183,0,3497
1180,40,1,143,3,81.9,513,123.5,60,174.5,0,3082
1250,22,1,144,2,80.4,513,126,58.5,179,0,3248
1190,40,1,146,3,79.3,528,125,63.5,184,0,3358
1374,40,1,151,3,78.2,548,130.5,61.5,193,0,3803
1306,40,1,150,3,81.1,535,128.5,65,185,0,3566
1202,30,1,141,3,79.7,502,126,63,177,0,3145
1240,42,1,145,3,77.1,539,128.5,64.5,188,0,3503
1316,34,1,145,3,77.1,540,131,63.5,188,0,3571
1280,42,1,151,3,79.9,543,130.5,62.5,189,0,3724
1350,39,1,151,3,79.5,555,126,63.5,190,0,3615
1180,39,1,143,3,81.7,515,128,62.5,175,0,3203
1210,24,1,147,3,79,560,132,64,186,0,3609
1127,44,1,147,3,78,541,128.5,64.5,188.5,0,3561
1324,24,1,154,3,81.1,552,136,64.5,190,0,3979
1210,30,1,141,3,75.4,540,134,63.5,187,0,3533
1290,37,1,144,3,77,530,137,63.75,187,0,3689
