iteration,pca_error,true_dist,
0,6015.39037191726,21.2020781343466,
1,9177.8812208038,29.5893095188683,
2,9508.59246333385,21.7285966753518,
3,4840.01592139848,24.9551685516749,
4,3417.38750824828,26.4218301713132,
5,857.028773419404,12.432650612623,
6,4228.07894947513,1.43381014346186,
7,32055.3166119345,45.8696143796399,
8,12412.0466847969,20.5226695582133,
9,6509.59028492262,32.6821395258367,
10,1496.6507624376,22.4628544449894,
11,2683.44817101443,11.7141772263537,
12,11241.6624308565,32.7818876075649,
13,543.512719231727,8.75042253690051,
14,1542.41668673867,6.8735351629412,
15,30865.9717227312,25.7938891260808,
16,3606.87525553973,12.5709990141648,
17,4744.17381828363,1.4992257037648,
18,8919.28507354722,2.27525927629209,
19,2411.16781080662,6.62434571088021,
20,23336.978527134,32.6383060968395,
21,785.784188761561,9.01000868542248,
22,6705.2858965048,18.6082253618061,
23,19758.3808941383,29.5155004009197,
24,6582.31955084114,24.8808183304304,
25,21588.9584702662,36.1324913689135,
26,306.662601751155,14.405462726773,
27,4356.5190710981,31.9558401219841,
28,1763.4904840513,7.29690288534576,
29,24723.8568724071,57.2501923771787,
30,4049.13842487306,31.7489711354727,
31,13087.0071699128,12.9225153088496,
32,15587.5681144712,34.2629290601232,
33,18151.8742450992,50.5794106202791,
34,9523.70969653112,35.1878454157387,
35,1714.2976687021,17.5506879459094,
36,6828.03429045604,21.6984791989338,
37,2104.25059001703,15.5227429761501,
38,5536.52460821821,19.0796625784075,
39,10826.001031132,46.6570597152338,
40,5020.54089893276,12.5491161889909,
41,11233.0830767763,11.5806633752662,
42,9077.89245328288,10.1386734701652,
43,7579.03050636981,32.5185021797355,
44,11126.6520311085,7.74046151581273,
45,571.855425229394,10.8261053640027,
46,3889.23735420832,7.00100916110001,
47,1428.11841106657,20.7803105400237,
48,13080.3653426966,26.6914478269956,
49,3351.6965834574,26.858606575636,
50,89324.2945199374,69.3764792531044,
51,55795.3222107636,67.1462848967558,
52,40546.5406072351,68.1277343311861,
53,310798.076874071,75.9698443822761,
54,38826.6747081344,40.6071772238732,
55,74953.7054591916,44.0447170867825,
56,73862.3883907526,63.0187987850926,
57,24261.7334105547,28.1239349766999,
58,70766.9295223193,59.876438706159,
59,163820.472884897,40.2374909068281,
60,108999.024890189,57.8934503416951,
61,40683.7378782028,42.6700822243637,
62,39556.5249787987,43.5798079723168,
63,87675.6553560669,55.6763830266338,
64,93559.3666915399,72.9345099961426,
65,67182.4972944879,54.5114166344735,
66,76725.5251516667,75.7606130170882,
67,19617.6770084879,50.6959251623251,
68,51612.0726134289,64.010871290174,
69,75134.9906022295,26.7329564353796,
70,137997.13035883,90.7407133069452,
71,194817.148381283,67.4407048044404,
72,95863.2538960136,125.328583949971,
73,73148.1183254798,71.5050757600868,
74,65653.798664308,53.5536430635714,
75,150838.704526011,65.9454904693825,
76,38251.9189951262,42.4107565824964,
77,48276.7139470009,81.7523824086547,
78,140137.388243843,90.1246169060387,
79,44789.4045337031,43.5704732049536,
80,11467.0734906159,12.0597274200985,
81,133612.886160172,73.7000376904,
82,84473.9167344566,16.1275531538523,
83,288949.460753227,95.4337798072742,
84,100509.640507622,35.9880354775001,
85,237591.698847519,86.4760767765969,
86,222706.28756219,93.776605259792,
87,32586.0366202963,36.0527739552982,
88,111159.405339725,89.8437211994417,
89,11725.3390533915,30.8186911831345,
90,121413.982272006,98.4388355413577,
91,31548.8796144629,27.7318497230028,
92,55366.5406800321,75.9339674722104,
93,40089.6341206397,53.5793244693914,
94,135715.827399108,91.6468169200538,
95,94586.4912512705,77.2878338687103,
96,144871.125503179,90.1463082675229,
97,39742.5221897424,46.6698134150141,
98,128608.176599867,44.4554885301517,
99,188890.334364355,90.8659967597717,
