iteration,non_outlier_sq_error,
0,44.2665393601961,
1,26.1128674807193,
2,34.1560727982107,
3,111.921887426276,
4,45.2435411223048,
5,99.4326873345251,
6,44.646568910327,
7,55.7335407773865,
8,14.6299333071367,
9,6.03125014101568,
10,35.6309071110836,
11,36.0733475113656,
12,0.46422872811825,
13,91.4360679825518,
14,25.4741317547301,
15,11.01349356003,
16,7.21736858608974,
17,26.3363848482286,
18,23.653948472777,
19,11.5666562717907,
20,15.6681613980982,
21,70.4004118200426,
22,46.7564623162895,
23,127.158644590289,
24,1.27007107474413,
25,16.8694054207186,
26,42.7614039959833,
27,67.6892193387215,
28,84.3253578975871,
29,19.0286010008133,
30,47.970701007147,
31,52.903480951884,
32,20.1697307860637,
33,33.7044939986598,
34,12.0540499399018,
35,44.7594423681095,
36,4.28592530822507,
37,51.8019418641629,
38,7.17640349813743,
39,39.378528479088,
40,63.8973936181329,
41,26.7672068505412,
42,49.5001629217327,
43,7.87525134858208,
44,56.6745278376243,
45,92.7883272101741,
46,153.767152084882,
47,58.6712696637095,
48,39.6811599647116,
49,63.6917925180071,
50,33.2604899234734,
51,76.5985984657747,
52,34.4827266889281,
53,83.8640121406784,
54,45.2037398594714,
55,6.30304522107796,
56,4.1734822136627,
57,55.2059253431812,
58,143.715025530386,
59,19.1864288063967,
60,35.523361615593,
61,24.590345523057,
62,21.9676509452539,
63,37.5387088439074,
64,131.876830078479,
65,17.5604975378245,
66,80.1502483947702,
67,58.9737142401106,
68,18.0582124246363,
69,16.6716369874485,
70,1.26541121409802,
71,6.0405175679231,
72,54.8719108724783,
73,4.88068916105604,
74,137.257439005541,
75,9.34402920476446,
76,2.34150516554939,
77,97.5032547814025,
78,70.3845990954927,
79,34.8229798816979,
80,121.776926379916,
81,2.18934112312564,
82,91.8852008525766,
83,7.41438492633866,
84,24.2923396118308,
85,4.36684488996229,
86,11.926593426934,
87,1.60029229993533,
88,16.7853602353971,
89,69.2630893899315,
90,3.03552785659295,
91,0.152672772252202,
92,82.8363033059801,
93,0.17255426622599,
94,95.3398767776974,
95,16.4941688354113,
96,0.183262860684388,
97,15.4322028841502,
98,1.22106136817975,
99,93.5161324926638,
100,60.5181971145041,
101,8.48290188229985,
102,41.891434649284,
103,14.8372819956539,
104,67.6297050132397,
105,13.9909415066068,
106,40.0840538048242,
107,126.581565288359,
108,9.58034127965146,
109,23.0440619837884,
110,33.3684428987351,
111,15.4380413363947,
112,46.2060496848395,
113,19.6112694723952,
114,77.6752361884158,
115,144.025116072305,
116,3.29361170889633,
117,31.8703558262538,
118,19.9803141586133,
119,49.6828183367519,
120,83.0507738154957,
121,2.26917034626997,
122,13.2092713218613,
123,36.3745859580322,
124,40.0728927517645,
125,1048.11365615239,
126,1341.362747477,
127,783.96914795417,
128,675.952229985589,
129,891.331616731603,
130,175.516189847564,
131,1165.08538368081,
132,146.829059797043,
133,1326.00662974968,
134,459.173711496226,
135,1827.19973004519,
136,1816.30757295911,
137,1097.6813587045,
138,1912.75200859694,
139,442.997253769848,
140,1724.04862012608,
141,744.247671683515,
142,684.23467378057,
143,1376.17117220838,
144,244.371920366137,
145,173.118838009914,
146,1363.0863493562,
147,1632.05529378217,
148,589.005069884836,
149,1423.35060013418,
150,1053.45754227447,
151,445.466676577907,
152,792.832458047955,
153,1125.24748726241,
154,472.830148744484,
155,2005.15628280661,
156,640.184444465314,
157,1049.26423063338,
158,1051.61461891173,
159,1665.14791333024,
160,1928.20632731801,
161,1073.80807390295,
162,160.939271305413,
163,499.487326328363,
164,747.416487556152,
165,320.33958312074,
166,677.825840669739,
167,252.82275958957,
168,953.44842044667,
169,1729.60382176441,
170,1416.68448804684,
171,1615.43016889656,
172,775.090379116436,
173,1353.16727341025,
174,961.510847339303,
175,1686.26554991158,
176,1730.89397189523,
177,1622.92601717842,
178,1116.22125643167,
179,193.045201809973,
180,1831.79814007714,
181,1239.15700644005,
182,1041.72828572419,
183,481.213420529085,
184,1901.28993268769,
185,615.171046151063,
186,1761.05434913339,
187,804.373241815544,
188,748.961695818874,
189,1787.78864548996,
190,449.665999524302,
191,293.403784782332,
192,280.807156832141,
193,1665.12488310908,
194,334.839588544342,
195,108.726770176106,
196,1877.34254776785,
197,1108.46504856911,
198,878.115320840249,
199,1717.72195622629,
200,1351.30329848293,
201,715.408966200926,
202,164.088872464986,
203,972.883740611739,
204,562.600185329736,
205,178.173386761866,
206,1032.18032135046,
207,494.461911099893,
208,605.527945942524,
209,961.214524098893,
210,1712.64207074004,
211,1068.5160550043,
212,135.766536725916,
213,741.849487513048,
214,1421.04257316825,
215,1555.16618730616,
216,646.084446103521,
217,819.944837312227,
218,650.285173352369,
219,1059.50095012983,
220,908.063542063862,
221,286.462366642448,
222,341.123516607827,
223,472.170796252668,
224,1126.97631650332,
225,923.739492464376,
226,127.765022864432,
227,497.839333884915,
228,551.150919586646,
229,309.500310476016,
230,1234.97731420285,
231,292.131498267204,
232,297.729268832161,
233,151.566888007444,
234,192.557588514513,
235,241.887919100678,
236,1598.86753599637,
237,564.785712378944,
238,457.084237673622,
239,1220.14835786739,
240,367.167881772944,
241,1643.66791640416,
242,1094.45667107407,
243,950.281465230425,
244,422.425638100533,
245,1123.03329167031,
246,769.801252359446,
247,1101.57068252103,
248,1610.6169005287,
249,130.493925129065,
250,10.7767953768222,
251,100.592732058789,
252,27.922797417128,
253,46.9051658584296,
254,10.8607620953503,
255,140.186947393451,
256,207.39346872761,
257,133.638014759224,
258,233.977486414312,
259,17.2970620329956,
260,31.1409730327248,
261,5.68002783990828,
262,18.6891401599967,
263,129.289559247595,
264,113.657549660881,
265,72.9023895998147,
266,116.084810686888,
267,173.942478297249,
268,147.90169774815,
269,163.920123585165,
270,189.870505641612,
271,297.264513525111,
272,162.934877610291,
273,108.66446152601,
274,67.9019280282277,
275,245.261386142449,
276,239.821321286532,
277,142.905128621259,
278,126.581327673129,
279,117.491187193039,
280,113.55455568136,
281,312.355904430445,
282,112.202280471742,
283,121.207951909413,
284,57.0372901505619,
285,40.7455495802011,
286,115.849265429529,
287,14.2945802028052,
288,44.4742215139461,
289,48.4045189523218,
290,36.019644783693,
291,32.4227080081105,
292,125.349271018533,
293,170.61494435448,
294,69.5708552498975,
295,38.9364006197688,
296,64.4924559586849,
297,191.48119902848,
298,38.6855479835037,
299,81.5862072711419,
300,105.325937565066,
301,200.933835783519,
302,171.144632562212,
303,122.110148710696,
304,105.487245111211,
305,166.991904679901,
306,35.7269486943421,
307,146.733513913774,
308,21.778837101697,
309,48.7077951800113,
310,31.4063517238633,
311,80.1992709197405,
312,113.051475351279,
313,139.029096061308,
314,152.362581704239,
315,2.06487181840859e-24,
316,152.213201835002,
317,137.954146468834,
318,118.55856441826,
319,100.545777935666,
320,40.2861429481084,
321,28.8839716734722,
322,280.723826051019,
323,7.97978767531401,
324,276.525708459722,
325,191.133706356354,
326,97.9709292547873,
327,47.4848633247812,
328,60.8163857471388,
329,146.965788631105,
330,142.475567017832,
331,81.3714660000461,
332,250.600394074264,
333,180.092843088805,
334,58.171176349104,
335,225.388790768602,
336,177.009756153631,
337,170.7507368518,
338,267.338968767496,
339,131.476504695136,
340,4.14457084173728,
341,97.0688624057959,
342,184.792364844885,
343,62.846945666062,
344,198.89339373846,
345,103.877634189026,
346,184.144621092809,
347,44.3172278152174,
348,52.8389624113691,
349,87.8506715084564,
350,85.5253945229047,
351,8.40917253901108,
352,52.3116565147921,
353,38.0487096074086,
354,100.760130319796,
355,130.752815589808,
356,30.1307297984337,
357,15.7494217386591,
358,11.2204297838962,
359,0.608932494945519,
360,131.965336049022,
361,76.4308079681605,
362,163.931442784415,
363,254.270795445847,
364,272.060113479637,
365,231.303372125826,
366,11.802483928575,
367,14.0012686317346,
368,33.8720320656588,
369,50.5569523884266,
370,167.196746996022,
371,253.788062977404,
372,223.069386636281,
373,116.50641082162,
374,59.3570305633701,
375,1683.13398945297,
376,1131.73191349645,
377,685.261210861953,
378,1502.88746104784,
379,842.308679125258,
380,867.991335707584,
381,1342.36311032489,
382,910.950876329711,
383,1499.44178008005,
384,1403.67911759593,
385,999.724304177581,
386,831.949922799349,
387,1263.96192710476,
388,544.619493235731,
389,1777.61296521546,
390,950.373659199874,
391,1368.08781502231,
392,1620.59401729694,
393,1136.46859927967,
394,704.930356321857,
395,1464.04323097406,
