iteration,non_outlier_sq_error
0,44.2665393601961,
1,3.79759135290982,
2,1.35939258014167,
3,16.8279059809771,
4,24.9397906218746,
5,0.168014755129952,
6,12.2514827221465,
7,17.0945697705021,
8,86.5796859897701,
9,88.5973357414353,
10,58.1020968597446,
11,18.2748517996313,
12,98.4001120106236,
13,10.5581189086256,
14,55.9504189392178,
15,69.4847509237159,
16,22.7981572569943,
17,32.9335656687695,
18,28.2568485175303,
19,3.94546684739302,
20,100.485753806022,
21,14.2677545168008,
22,37.6793380465209,
23,42.3810037485795,
24,13.9098114885762,
25,34.1827079536719,
26,26.8793286063102,
27,49.8578355874222,
28,34.610470856704,
29,37.6637098473838,
30,58.9052813150751,
31,5.68128297512158,
32,12.3384906632597,
33,29.689341805294,
34,35.3094350386721,
35,4.61980314698635,
36,13.9078317201867,
37,32.5141670722592,
38,9.23113563509434,
39,73.471821218778,
40,38.8042112501289,
41,46.2590592166374,
42,15.1348277452263,
43,9.33599402054825,
44,19.679940708058,
45,78.7088511484526,
46,91.2511961573191,
47,124.929655534054,
48,70.0772265320141,
49,35.1893650549369,
50,1.39364138804439,
51,1.43392361612845,
52,31.2874885035966,
53,62.4882284730528,
54,38.7783761201216,
55,23.1719328632535,
56,50.8256451877932,
57,145.881812159961,
58,26.9782033289056,
59,1.88940437240354,
60,2.00855872024143,
61,37.5240827251783,
62,65.9239302865279,
63,131.221075160732,
64,62.5456579545612,
65,0.075311857671515,
66,20.9564886088596,
67,6.08369530106445e-26,
68,58.5012859299532,
69,11.325241968489,
70,0.99489800246742,
71,22.1390152440317,
72,39.0056681383467,
73,0.996028942807641,
74,7.58807194949633,
75,97.9522306939364,
76,52.824512609573,
77,64.6783367942217,
78,30.7458523776913,
79,27.0517427283456,
80,78.0097254886309,
81,35.8449128402186,
82,1.83812769610706,
83,7.0655316452165,
84,7.87325036416596,
85,97.8997521716339,
86,0.261591121871073,
87,19.9379629422613,
88,4.06718456009132,
89,37.5234239356509,
90,2.17743743217022,
91,6.72781201158571,
92,38.3665099073145,
93,97.5490216062402,
94,8.90049274711883,
95,36.8005457881706,
96,12.1212990812612,
97,18.3369138021345,
98,25.6376963843723,
99,87.4112801369508,
100,51.7863465621542,
101,2.92019588655973,
102,2.15271377410352,
103,7.95439514922359,
104,29.4125918839983,
105,0.782227854719301,
106,6.19681485866027,
107,4.45939408511331,
108,15.347442914926,
109,39.2845657919504,
110,32.7052885983569,
111,42.8765596920987,
112,1.1511058328985e-26,
113,28.7308252878077,
114,5.69858164563476,
115,69.9380654817105,
116,69.6161479553601,
117,55.5306729155977,
118,108.029111493467,
119,22.3058550887379,
120,42.6651026540628,
121,133.238404641474,
122,17.3814247501347,
123,52.2467727368566,
124,1.55175869764903,
125,910.937311536852,
126,542.085778734391,
127,1139.18441383818,
128,1243.78235103,
129,1612.83347978888,
130,1600.00373106173,
131,379.852375170969,
132,182.209970777415,
133,250.850091335534,
134,143.294348578953,
135,446.144746999737,
136,757.599625522451,
137,264.793247331629,
138,339.820464756636,
139,413.386982307765,
140,729.201849006357,
141,945.452702299002,
142,1537.365977514,
143,1482.28202030667,
144,454.722989906406,
145,506.041426398251,
146,553.051658973224,
147,593.547000408085,
148,1058.62615663305,
149,1811.24589241615,
150,1777.77587222511,
151,631.686722978469,
152,295.525176112741,
153,267.97906553569,
154,1702.6183426686,
155,1406.34110803403,
156,392.273940109063,
157,1171.32316581978,
158,561.532174037384,
159,775.596107896264,
160,547.488776427084,
161,476.068081729334,
162,448.549843522873,
163,1507.78558538577,
164,794.854424202804,
165,1170.12192435402,
166,637.327119178607,
167,1842.13205261791,
168,1009.4811503181,
169,1754.48183675929,
170,1129.32645777662,
171,1417.31898194082,
172,219.251988066357,
173,563.431950291465,
174,429.617071632184,
175,1434.68804717238,
176,1484.87461278802,
177,1090.03152533811,
178,1485.70028807736,
179,501.161531310222,
180,306.765133679687,
181,1432.60755873929,
182,1561.10973846801,
183,384.965921687387,
184,595.923274657953,
185,1642.80839606465,
186,607.77034976688,
187,1785.93936716878,
188,1698.95396675403,
189,394.050544177629,
190,1703.33692140859,
191,615.068555909393,
192,526.96919458609,
193,512.695671336347,
194,734.787366462565,
195,1635.33131646814,
196,1881.68193115692,
197,981.209677237006,
198,193.757873926887,
199,1110.67379846241,
200,1650.48740894647,
201,695.568361805264,
202,461.791175978598,
203,447.250222753078,
204,262.761080666961,
205,632.644309111421,
206,1832.26269561651,
207,730.094121885987,
208,934.619694377757,
209,1009.58091657461,
210,545.741315515552,
211,1048.76312641657,
212,1757.22645203595,
213,472.117962631703,
214,452.681010878046,
215,1492.56568690022,
216,346.615410803833,
217,1429.61232468829,
218,819.788848402429,
219,272.707760367096,
220,1795.2786574437,
221,1803.06712338137,
222,1249.47367045095,
223,679.03132143855,
224,908.072802720834,
225,1079.88470418357,
226,421.461549591382,
227,333.163425958524,
228,1680.0839876773,
229,620.321280477085,
230,932.958192094599,
231,726.176049881007,
232,677.86484821912,
233,1095.38499951948,
234,1072.63691405233,
235,1374.16046255204,
236,1179.74304969588,
237,1326.66211601379,
238,1334.02953579068,
239,741.389822434738,
240,1024.72768225765,
241,1229.67339396676,
242,217.79698125614,
243,722.515810530588,
244,771.175017110568,
245,1794.20247276799,
246,726.284934933176,
247,1480.41945097697,
